"id","title","normalized_title","parent_id","usage_count","created_at","updated_at","deleted_at"
"1","Еда","еда","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"2","Жилье","жилье","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"3","Транспорт","транспорт","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"4","Комунальные платежи","комунальные платежи","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"5","Страховка","страховка","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"6","Здоровье","здоровье","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"7","Сбережения и инвестиции","сбережения и инвестиции","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"8","Образование","образование","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"9","Личные расходы","личные расходы","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"10","Развлечения","развлечения","0","1","2024-11-27 11:47:31","2024-11-30 18:54:14",NULL
"11","Подарки","подарки","0","2","2024-11-27 11:47:31","2024-12-02 12:56:30",NULL
"12","Оплата долгов","оплата долгов","0","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"13","Разное","разное","0","2","2024-11-27 11:47:31","2024-12-02 12:51:49",NULL
"14","Продукты","продукты","1","18","2024-11-27 11:47:31","2024-11-30 18:53:52",NULL
"15","Кафе и рестораны","кафе и рестораны","1","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"16","Напитки и снеки","напитки и снеки","1","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"17","Аренда","аренда","2","1","2024-11-27 11:47:31","2024-12-02 12:57:51",NULL
"18","Ипотека","ипотека","2","1","2024-11-27 11:47:31","2024-12-02 12:46:16",NULL
"19","Страхование жилья","страхование жилья","2","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"20","Комунальные платежи","комунальные платежи","2","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"21","Ремонт","ремонт","2","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"22","Покупка мебели/техники","покупка мебели/техники","2","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"23","Публичный транспорт","публичный транспорт","3","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"24","Такси","такси","3","2","2024-11-27 11:47:31","2024-11-30 18:53:19",NULL
"25","Бензин","бензин","3","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"26","Автостраховка","автостраховка","3","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
"27","Аренда машины","аренда машины","3","0","2024-11-27 11:47:31","2024-11-27 11:47:31",NULL
