"id","category_id","expense_id","created_at","updated_at"
"1","24","1",NULL,NULL
"2","14","2",NULL,NULL
"3","14","3",NULL,NULL
"4","14","4",NULL,NULL
"5","14","5",NULL,NULL
"6","14","6",NULL,NULL
"7","14","7",NULL,NULL
"8","14","8",NULL,NULL
"9","14","9",NULL,NULL
"10","14","10",NULL,NULL
"11","14","11",NULL,NULL
"12","14","12",NULL,NULL
"13","14","13",NULL,NULL
"14","14","14",NULL,NULL
"15","14","15",NULL,NULL
"16","14","16",NULL,NULL
"17","14","17",NULL,NULL
"18","14","18",NULL,NULL
"19","24","19",NULL,NULL
"20","14","20",NULL,NULL
"21","10","21",NULL,NULL
"22","18","22",NULL,NULL
"23","13","23",NULL,NULL
"24","13","24",NULL,NULL
"25","11","25",NULL,NULL
"26","11","26",NULL,NULL
"27","17","27",NULL,NULL
