"id","account_id","amount","operation_type","operation_id","description","balance_after","performed_at","created_at","updated_at","deleted_at"
"1","1","2500.00","income","1","От юры за подписку","2500.00","2025-01-09 20:53:00","2025-01-09 20:44:19","2025-01-09 20:53:00",NULL
"2","1","60000.00","income","2","Зарплата","62500.00","2025-01-10 01:33:50","2025-01-09 21:23:18","2025-01-10 01:33:50",NULL
"3","7","560.00","income","3","процент по вкладу","51252.38","2025-01-10 01:34:50","2025-01-10 01:34:50","2025-01-10 01:34:50",NULL
"4","1","60000.00","income","4","Зарплата","122500.00","2025-01-10 01:35:32","2025-01-10 01:35:32","2025-01-10 01:35:32",NULL
"5","1","60000.00","income","5","Зарплата","182500.00","2025-01-10 01:36:17","2025-01-10 01:36:17","2025-01-10 01:36:17",NULL
"6","1","2500.00","income","6","От юры за подписку","185000.00","2025-01-10 01:36:54","2025-01-10 01:36:54","2025-01-10 01:36:54",NULL
"7","3","3442.62","income","7","Процент по вкладу","203442.62","2025-01-10 01:38:25","2025-01-10 01:38:25","2025-01-10 01:38:25",NULL
"8","3","3619.57","income","8","Процент по вкладу","207062.19","2025-01-10 01:39:03","2025-01-10 01:39:03","2025-01-10 01:39:03",NULL
"9","5","2100.00","expense","1","currency exchange","3500.00","2025-01-10 13:18:52","2025-01-10 01:43:10","2025-01-10 13:18:52",NULL
"10","8","5890.00","income","9","currency exchange","2691.00","2025-01-10 13:18:52","2025-01-10 01:43:10","2025-01-10 13:18:52",NULL
"11","1","3600.00","expense","2","currency exchange","85200.00","2025-01-10 13:16:40","2025-01-10 11:27:08","2025-01-10 13:16:40",NULL
"12","9","34.63","income","10","currency exchange","23.59","2025-01-10 13:16:40","2025-01-10 11:27:08","2025-01-10 13:16:40",NULL
"13","1","34450.00","expense","3","currency exchange","85200.00","2025-01-10 13:16:34","2025-01-10 11:27:44","2025-01-10 13:16:34",NULL
"14","9","331.25","income","11","currency exchange","23.59","2025-01-10 13:16:34","2025-01-10 11:27:44","2025-01-10 13:16:34",NULL
"15","1","9813.00","expense","4","currency exchange","85200.00","2025-01-10 13:16:54","2025-01-10 11:28:26","2025-01-10 13:16:54",NULL
"16","9","94.23","income","12","currency exchange","23.59","2025-01-10 13:16:54","2025-01-10 11:28:26","2025-01-10 13:16:54",NULL
"17","9","128.57","expense","5","currency exchange","23.59","2025-01-10 13:16:48","2025-01-10 11:29:27","2025-01-10 13:16:48",NULL
"18","4","351.00","income","13","currency exchange","2622.95","2025-01-10 13:16:48","2025-01-10 11:29:27","2025-01-10 13:16:48",NULL
"19","9","331.51","expense","6","currency exchange","23.59","2025-01-10 13:17:01","2025-01-10 11:30:02","2025-01-10 13:17:01",NULL
"20","4","905.00","income","14","currency exchange","2622.95","2025-01-10 13:17:01","2025-01-10 11:30:02","2025-01-10 13:17:01",NULL
"21","1","5497.00","expense","7","currency exchange","85200.00","2025-01-10 13:17:52","2025-01-10 11:30:46","2025-01-10 13:17:52",NULL
"22","9","54.49","income","15","currency exchange","23.59","2025-01-10 13:17:52","2025-01-10 11:30:46","2025-01-10 13:17:52",NULL
"23","1","20000.00","expense","8","currency exchange","85200.00","2025-01-10 13:18:00","2025-01-10 11:31:27","2025-01-10 13:18:00",NULL
"24","9","198.02","income","16","currency exchange","23.59","2025-01-10 13:18:00","2025-01-10 11:31:27","2025-01-10 13:18:00",NULL
